!SIL	sil
<UNK>	sil
បុរោហិត	b o r aɔ h e t
បុល	b o l
បុស្បា	b o h s b aː
បុស្ប	b o h
បុស្សរថ	b o h s a ʔ r ʋ t
បុស្ស	b o h
បុស	b o h
បុំ	b o m
បុះ	b o h
បុ	b o
បូកគោ	b oʊ k k oː
បូកបោះ	b oʊ k b ɑ h
បូកប៉ាន់	b oʊ k p a n
បូក	b oʊ k
បូគ	b oʊ k
បូជនកិច្ច	b oʊ c ɛă ʔ n ɛă ʔ k e c
បូជនីយដ្ឋាន	b oʊ c ɛă ʔ n iː j ɛă t tʰ aː n
បូជនីយស្ថាន	b oʊ c ɛă ʔ n iː j ɛă ʔ s tʰ aː n
បូជនីយេសក៍	b oʊ c ɛă ʔ n iː j eː h
បូជនីយៈ	b oʊ c ɛă ʔ n iː j ɛă ʔ
បូជនីយ	b oʊ c ɛă ʔ n iː
បូជន	b oʊ c ʋ n
បូជាព្រះសព	b oʊ c iɜ p r ɛă h s ɑ p
បូជាយញ្ញ	b oʊ c iɜ j a ɲ
បូជា	b oʊ c iɜ
បូញបាញ	b oʊ ɲ b aː ɲ
បូញ	b oʊ ɲ
បូដាន	b oʊ d aː n
បូណ៌មី	b oʊ r a ʔ m ɜi
បូតា	b oʊ t aː
បូតិកាយ	b oʊ t e k aː j
បូតិលតា	b oʊ t e l ɛă ʔ d aː
បូតិល	b oʊ t e l
បូតុង	b oʊ t o ŋ
បូត្រោត	b oʊ t r aɔ t
បូត	b oʊ t
បូទី	b oʊ t iː
បូផល	b oʊ pʰ ɑ l
បូពា	b oʊ p iɜ
បូព៌ទិស	b oʊ t ɘ h
បូព៌និមិត្ត	b oʊ n i m i t
បូព៌ា	b oʊ p iɜ
បូព៌	b oʊ
បូម	b oʊ m
បូយ៉ា	b oʊ j aː
បូរដ្ឋាន	b oʊ r a t tʰ aː n
បូរណភាព	b oʊ r a ʔ n a ʔ pʰ iɜ p
បូរណសំខ្យា	b oʊ r a ʔ n a ʔ s a ŋ kʰ j aː
បូរណ	b oʊ r a ʔ n a ʔ
បូរបាច់	b oʊ b a c
បូរាណ	b oʊ r aː n
បូរិទ្ធ	b oʊ r i t
បូរីស	b oʊ r iː h
បូរី	b oʊ r ɜi
បូរ៉ាត់	b oʊ r a t
បូរ៉ាត	b oʊ r aː t
បូរ៉ាន់	b oʊ r a n
បូរ៉ា	b oʊ r aː
បូរ៉ូ	b oʊ r oʊ
បូរ	b oʊ
បូលិស	b oʊ l i h
បូលីតាន	b oʊ l iː t aː n
បូល	b oʊ l
បូស្ដុន	b oʊ s d o n
បូស្តុន	b oʊ s t o n
បូស	b oʊ h
បូហ្គោតា	b oʊ h k oː t aː
បូ	b oʊ
បួងដៃ	b uɜ ŋ d ai
បួងសួង	b uɜ ŋ s uɜ ŋ
បួង	b uɜ ŋ
បួនជ្រុង	b uɜ n c r ʋ ŋ
បួនដប់	b uɜ n d ɑ p
បួន	b uɜ n
បួយ	b uɜ j
បួរ	b uɜ
បួល	b uɜ l
បួស	b uɜ h
បួ	b uɜ
បើកចំហរ	b aɜ k c ɑ m h ɑː
បើកដៃ	b aɜ k d ai
បើកថ្ងៃ	b aɜ k tʰ ŋ ai
បើកបរ	b aɜ k b ɑː
បើកឲ្យ	b aɜ k ʔ aɔ j
បើក	b aɜ k
បើពុំនោះ	b aɜ p ʋ m n ʋ h
បើសិនជា	b aɜ s e n c iɜ
បើសិន	b aɜ s e n
បើស	b aɜ h
បើ	b aɜ
បឿន	b ɨɜ n
បៀង	b iɜ ŋ
បៀតបៀន	b iɜ t b iɜ n
បៀតសៀត	b iɜ t s iɜ t
បៀត	b iɜ t
បៀន	b iɜ n
បៀម	b iɜ m
បៀរ៍	b iɜ
បៀរ	b iɜ
បៀលៀង	b iɜ l iɜ ŋ
បៀល	b iɜ l
បៀវត្សរ៍	b iɜ β̞ oă t
បៀវត្ស	b iɜ β̞ oă t
បៀ	b iɜ
បេតិកភណ្ឌ	p e t e k a ʔ pʰ oă n
បេតិ៍	p ɛe t
បេតី	p aɛ t ɜi
បេតុង	b ɛe t o ŋ
បេត	p ɛe t
បេទី	b ɛe t iː
បេនឡាន	b ɛe n l aː n
បេន	b ɛe n
បេយ្យាលៈ	p ai j aː l a ʔ
បេរី	b ɛe r iː
បេរ៉ូត	b ɛe r oʊ t
បេលណា	b ɛe l n aː
បេលី	b ɛe l iː
បេល	b ɛe l
បេសកកម្ម	p ɛe s a ʔ k a ʔ k a m
បេសកជន	p ɛe s a ʔ k a ʔ c ʋ n
បេសកម្ម	p ɛe s a ʔ k a m
បេសបល	b ɛe h b ɑː l
បេស្ទុន	b ɛe s t ʋ n
បេហ្កល	b ɛe h k ɑː l
បេហ្ស៍ប័ល	b ɛe h b oă l
បេហ្ស៍	b ɛe h
បេឡាករ	b ɛe l aː k ɑː
បេឡា	b ɛe l aː
បេឡេត៍	b ɛe l ɛe
បេះដូង	b ɛe h d oʊ ŋ
បេះបិត	b ɛe h b e t
បេះបិទ	b ɛe h b e t
បេះបួយ	b ɛe h b uɜ j
បេះបោច	b ɛe h b aɔ c
បេះ	b ɛe h
បេ	b ɛe
បែត	b aɛ t
បែន	b aɛ n
បែបណានោះ	b aɛ p n aː n ʋ h
បែបនេះ	b aɛ p n i h
បែបបទ	b aɛ p b ɑ t
បែបផែន	b aɛ p pʰ aɛ n
បែបភាព	b aɛ p pʰ iɜ p
បែបយ៉ាង	b aɛ p j aː ŋ
បែបរបៀប	b aɛ p r ɔː b iɜ p
បែប	b aɛ p
បែរជា	b aɛ c iɜ
បែរទៅជា	b aɛ t ɘɨ c iɜ
បែរបន់	b aɛ b ɑ n
បែរ	b aɛ
បែល	b aɛ l
បែស	b aɛ h
បែហ្ស៍	b aɛ h
បៃដីកា	b ai d ɜi k aː
បៃតង	b ai t ɑː ŋ
បៃមន់	b ai m ʋ n
បៃមន	b ai m ɔː n
បៃរកា	b ai r a ʔ k aː
បៃសាចី	b ai s aː c ɜi
បៃឡី	b ai l ɜi
បៃ	b ai
បោកគក់	b aɔ k k ɔ ʔ
បោកចំបាប់	b aɔ k c ɑ m b a p
បោកបញ្ឆោត	b aɔ k b a ɲ cʰ aɔ t
បោកបែន	b aɔ k b aɛ n
បោកបោះ	b aɔ k b ɑ h
បោកអ៊ុត	b aɔ k ʔ ʋ t
បោក្ខរណី	b aɔ k kʰ a ʔ r a ʔ n ɜi
បោក្ខរព័រ្ស	b aɔ k kʰ a ʔ r a ʔ p oa
បោក្ខរព័ស៌	b aɔ k kʰ a ʔ r a ʔ p oa
បោក	b aɔ k
បោង	b aɔ ŋ
បោច	b aɔ c
បោធន	b aɔ tʰ ʋ n
បោន	b aɔ n
បោប	b aɔ p
បោយបក់	b aɔ j b ɑ ʔ
បោយ	b aɔ j
បោរាណានុបោរាណ	p aɔ r aː n aː n ʋ p aɔ r aː n
បោរាណា	p aɔ r aː n aː
បោរា	b aɔ r aː
បោរីភាសា	b aɔ r ɜi pʰ iɜ s aː
បោរី	b aɔ r ɜi
បោរ	b aɔ
បោល	b aɔ l
បោវ័រ	b aɔ β̞ oa
បោសច្រាស	b aɔ h c r aː h
បោសលាន	b aɔ h l iɜ n
បោសសម្អាត	b aɔ h s ɑ m ʔ aː t
បោសអង្អែល	b aɔ h ʔ ɑ ŋ ʔ aɛ l
បោសិតព្វកិច្ច	b aɔ s e t a p p ɛă ʔ k e c
បោសិត	b aɔ s e t
បោស	b aɔ h
បោះចោល	b ɑ h c aɔ l
បោះឆ្នោត	b ɑ h cʰ n aɔ t
បោះជំរុំ	b ɑ h c ʋ m r ʋ m
បោះជំរំ	b ɑ h c ʋ m r ʋ m
បោះជំហាន	b ɑ h c ʋ m h iɜ n
បោះតង់	b ɑ h t ɑ ŋ
បោះត្រាក់	b ɑ h t r a ʔ
បោះត្រា	b ɑ h t r aː
បោះទុន	b ɑ h t ʋ n
បោះបង់ចោល	b ɑ h b ɑ ŋ c aɔ l
បោះបង់	b ɑ h b ɑ ŋ
បោះបង្គោល	b ɑ h b ɑ ŋ k oː l
បោះបោក	b ɑ h b aɔ k
បោះផ្សាយ	b ɑ h pʰ s aː j
បោះពុម្ពផ្សាយ	b ɑ h p ʋ m pʰ s aː j
បោះពុម្ព	b ɑ h p ʋ m
បោះពួយ	b ɑ h p uɜ j
បោះព្រំ	b ɑ h p r ʋ m
បោះភ្ជាប់	b ɑ h pʰ c oă p
បោះមេ	b ɑ h m ɛe
បោះសោក	b ɑ h s aɔ k
បោះ	b ɑ h
បោ	b aɔ
បៅ	b aɨ
បំណង	b ɑ m n ɑː ŋ
បំណន់	b ɑ m n ɑ n
បំណាក់	b ɑ m n a ʔ
បំណាច់នឹង	b ɑ m n a c n ɘ ŋ
បំណាច់	b ɑ m n a c
បំណាត់	b ɑ m n a t
បំណាំ	b ɑ m n a m
បំណិទ	b ɑ m n e t
បំណិន	b ɑ m n e n
បំណុល	b ɑ m n o l
បំណើក	b ɑ m n aɜ k
បំណេច	b ɑ m n ɛe c
បំណែ	b ɑ m n aɛ
បំណោក	b ɑ m n aɔ k
បំណះ	b ɑ m n a h
បំបង់	b ɑ m b ɑ ŋ
បំបត់	b ɑ m b ɑ t
បំបប	b ɑ m b ɑː p
បំបរបង់	b ɑ m b ɑː b ɑ ŋ
បំបរ	b ɑ m b ɑː
បំបាក់	b ɑ m b a ʔ
បំបាញ់	b ɑ m b a ɲ
បំបាត់ស្នាម	b ɑ m b a t s n aː m
បំបាត់	b ɑ m b a t
បំបាន	b ɑ m b aː n
បំបាំង	b ɑ m b a ŋ
បំបិទ	b ɑ m b e t
បំបួស	b ɑ m b uɜ h
បំបៀត	b ɑ m b iɜ t
បំបែន	b ɑ m b aɛ n
បំបែរ	b ɑ m b aɛ
បំបោរ	b ɑ m b aɔ
បំបោល	b ɑ m b aɔ l
បំបៅ	b ɑ m b aɨ
បំបះបំបោរ	b ɑ m b a h b ɑ m b aɔ
បំបះបំភ្លូក	b ɑ m b a h b ɑ m pʰ l uː k
បំបះ	b ɑ m b a h
បំប៉នបំពេញ	b ɑ m p ɑː n b ɑ m p i ɲ
បំប៉ន	b ɑ m p ɑː n
បំប៉ាន់	b ɑ m p a n
បំប៉ឹម	b ɑ m p ɜ m
បំប៉ោង	b ɑ m p aɔ ŋ
បំប៉ះ	b ɑ m p a h
បំផត	b ɑ m pʰ ɑː t
បំផាយ	b ɑ m pʰ aː j
បំផឹក	b ɑ m pʰ ɜ k
បំផុង	b ɑ m pʰ o ŋ
បំផុត	b ɑ m pʰ o t
បំផុយ	b ɑ m pʰ o j
បំផុល	b ɑ m pʰ o l
បំផុសបំផុល	b ɑ m pʰ o h b ɑ m pʰ o l
បំផុស	b ɑ m pʰ o h
បំផូរ	b ɑ m pʰ oʊ
បំផើម	b ɑ m pʰ aɜ m
បំផ្ទុះ	b ɑ m pʰ t ʋ h
បំផ្លាង	b ɑ m pʰ l aː ŋ
បំផ្លាញ	b ɑ m pʰ l aː ɲ
បំផ្លិចបំផ្លាញ	b ɑ m pʰ l e c b ɑ m pʰ l aː ɲ
បំផ្លិច	b ɑ m pʰ l e c
បំផ្លើស	b ɑ m pʰ l aɜ h
បំពក់កំហឹង	b ɑ m p ɔ ʔ k ɑ m h ɜ ŋ
បំពក់	b ɑ m p ɔ ʔ
បំពង់ករឿង	b ɑ m p ʋ ŋ k ɑː r ɨɜ ŋ
បំពង់ក	b ɑ m p ʋ ŋ k
បំពង់ចក្រ	b ɑ m p ʋ ŋ c a ʔ
បំពង់ទីប	b ɑ m p ʋ ŋ t iː p
បំពង់ទុយោ	b ɑ m p ʋ ŋ t ʋ j oː
បំពង់នេះ	b ɑ m p ʋ ŋ n i h
បំពង់បឺត	b ɑ m p ʋ ŋ b ɜɘ t
បំពង់បូម	b ɑ m p ʋ ŋ b oʊ m
បំពង់អាហារ	b ɑ m p ʋ ŋ ʔ aː h aː
បំពង់	b ɑ m p ʋ ŋ
បំពង	b ɑ m p ɔː ŋ
បំពត់	b ɑ m p ʋ t
បំពម	b ɑ m p ɔː m
បំពាក់អាវុធ	b ɑ m p ɛă ʔ ʔ aː β̞ ʋ t
បំពាក់	b ɑ m p ɛă ʔ
បំពានលើ	b ɑ m p iɜ n l ɘː
បំពាន	b ɑ m p iɜ n
បំពារ	b ɑ m p iɜ
បំពាំង	b ɑ m p ɛă ŋ
បំពាំ	b ɑ m p oă m
បំពុល	b ɑ m p ʋ l
បំពួនស្ករ	b ɑ m p uɜ n s k ɑː
បំពួន	b ɑ m p uɜ n
បំពើង	b ɑ m p ɘː ŋ
បំពើត	b ɑ m p ɘː t
បំពៀច	b ɑ m p iɜ c
បំពេញចិត្ត	b ɑ m p i ɲ c e t
បំពេញបាន	b ɑ m p i ɲ b aː n
បំពេញរាជ្យ	b ɑ m p i ɲ r iɜ c
បំពេញ	b ɑ m p i ɲ
បំពេន	b ɑ m p eː n
បំពេរ	b ɑ m p eː
បំពេ	b ɑ m p eː
បំពោកថ្នាំ	b ɑ m p oː k tʰ n a m
បំពោក	b ɑ m p oː k
បំពោត	b ɑ m p oː t
បំពោប	b ɑ m p oː p
បំពោរ	b ɑ m p oː
បំព័ទ្ធ	b ɑ m p oă t
បំព្រង	b ɑ m p r ɔː ŋ
បំព្រាង	b ɑ m p r iɜ ŋ
បំព្រាច	b ɑ m p r iɜ c
បំព្រាត់	b ɑ m p r oă t
បំព្រុល	b ɑ m p r ʋ l
បំព្រួញ	b ɑ m p r uɜ ɲ
បំព្រួម	b ɑ m p r uɜ m
បំព្រៃ	b ɑ m p r ɘi
បំព្រំ	b ɑ m p r ʋ m
បំភល	b ɑ m pʰ ɔː l
បំភាន់	b ɑ m pʰ oă n
បំភាយ	b ɑ m pʰ iɜ j
បំភិតបំភ័យ	b ɑ m pʰ i t b ɑ m pʰ ɘi
បំភិត	b ɑ m pʰ i t
បំភុល	b ɑ m pʰ ʋ l
បំភ័ន្ត	b ɑ m pʰ oă n
បំភ័យ	b ɑ m pʰ ɘi
បំភ្លាង	b ɑ m pʰ l iɜ ŋ
បំភ្លាត់មាត់	b ɑ m pʰ l oă t m oă t
បំភ្លាត់	b ɑ m pʰ l oă t
បំភ្លាំង	b ɑ m pʰ l ɛă ŋ
បំភ្លឺថា	b ɑ m pʰ l ɨː tʰ aː
បំភ្លឺ	b ɑ m pʰ l ɨː
បំភ្លូក	b ɑ m pʰ l uː k
បំភ្លេច	b ɑ m pʰ l i c
បំភ្លៃ	b ɑ m pʰ l ɘi
បំរាម	b ɑ m r aː m
បំរុង	b ɑ m r o ŋ
បំរើការពី	b ɑ m r aɜ k aː p iː
បំរើ	b ɑ m r aɜ
បំរះ	b ɑ m r ɛă h
បំលាស់ទី	b ɑ m l a h t iː
បំលាស់	b ɑ m l a h
បំសុបិសាច	p a ŋ s o b ɜi s aː c
បំ	b ɑ m
បះបោរ	b a h b aɔ
បះ	b a h
ប៉ក់	p ɑ ʔ
ប៉ង	p ɑː ŋ
ប៉ច	p ɑː c
ប៉ន់	p ɑ n
ប៉ប៉ប់	p ɑː p ɑ p
ប៉ប៉ាក់ប៉ប៉ើក	p ɑː p a ʔ p ɑː p aɜ k
ប៉ប៉ាក់	p ɑː p a ʔ
ប៉ប៉ាច់ប៉ប៉ោច	p ɑː p a c p ɑː p aɔ c
ប៉ប៉ាច់	p ɑː p a c
ប៉ប៉ាន់	p ɑː p a n
ប៉ប៉ិកប៉ប៉ាក់	p ɑː p e k p ɑː p a ʔ
ប៉ប៉ិក	p ɑː p e k
ប៉ប៉ិច	p ɑː p e c
ប៉ប៉ិនប៉ប៉ាន់	p ɑː p e n p ɑː p a n
ប៉ប៉ិន	p ɑː p e n
ប៉ប៉ិលប៉ប៉ូច	p ɑː p e l p ɑː p oʊ c
ប៉ប៉ិល	p ɑː p e l
ប៉ប៉ុន	p ɑː p o n
ប៉ប៉ុប	p ɑː p o p
ប៉ប៉ូច	p ɑː p oʊ c
ប៉ប៉ើក	p ɑː p aɜ k
ប៉ប៉ែះ	p ɑː p aɛ h
ប៉ប៉ោច	p ɑː p aɔ c
ប៉ប៉ៅ	p ɑː p aɨ
ប៉ប៉ះប៉ប៉ុន	p ɑː p a h p ɑː p o n
ប៉ប៉ះ	p ɑː p a h
ប៉ប់	p ɑ p
ប៉ប្តៀច	p ɑː p t iɜ c
ប៉ផង់	p ɑː pʰ ɑ ŋ
ប៉ផស	p ɑː pʰ ɑː h
ប៉ផាង	p ɑː pʰ aː ŋ
ប៉ផាប់	p ɑː pʰ a p
ប៉ផុតប៉ផើយ	p ɑː pʰ o t p ɑː pʰ aɜ j
ប៉ផុត	p ɑː pʰ o t
ប៉ផូង	p ɑː pʰ oʊ ŋ
ប៉ផូរ	p ɑː pʰ oʊ
ប៉ផូស	p ɑː pʰ oʊ h
ប៉ផែត	p ɑː pʰ aɛ t
ប៉ផ្ងាក់	p ɑː pʰ ŋ a ʔ
ប៉ផ្ងើក	p ɑː pʰ ŋ aɜ k
ប៉ផ្ចប់	p ɑː pʰ c ɑ p
ប៉ផ្ញាច់	p ɑː pʰ ɲ a c
ប៉ផ្ញាញ	p ɑː pʰ ɲ aː ɲ
ប៉ផ្ញោញ	p ɑː pʰ ɲ aɔ ɲ
ប៉ផ្ដក់	p ɑː pʰ d ɑ ʔ
ប៉ផ្ដិត	p ɑː pʰ d e t
ប៉ផ្ដឺត	p ɑː pʰ d ɜɘ t
ប៉ផ្ដៀច	p ɑː pʰ d iɜ c
ប៉ផ្តិតប៉ផ្តូង	p ɑː pʰ t e t p ɑː pʰ t oʊ ŋ
ប៉ផ្តូង	p ɑː pʰ t oʊ ŋ
ប៉ផ្លប់	p ɑː pʰ l ɑ p
ប៉ផ្លិចប៉ផ្លប់	p ɑː pʰ l e c p ɑː pʰ l ɑ p
ប៉ផ្លិច	p ɑː pʰ l e c
ប៉ផ្លោត	p ɑː pʰ l aɔ t
ប៉ផ្អាក់ប៉ផ្អើក	p ɑː pʰ ʔ a ʔ p ɑː pʰ ʔ aɜ k
ប៉ផ្អឹប	p ɑː pʰ ʔ ɜ p
ប៉ផ្អឹះ	p ɑː pʰ ʔ ɜ h
ប៉ផ្អូក	p ɑː pʰ ʔ oʊ k
ប៉ផ្អូច	p ɑː pʰ ʔ oʊ c
ប៉ផ្អួស	p ɑː pʰ ʔ uɜ h
ប៉ផ្អើក	p ɑː pʰ ʔ aɜ k
ប៉ផ្អៀច	p ɑː pʰ ʔ iɜ c
ប៉ផ្អេះ	p ɑː pʰ ʔ ɛe h
ប៉ផ្អែប	p ɑː pʰ ʔ aɛ p
ប៉ពូ	p ɑː p uː
ប៉ម	p ɑː m
ប៉យ	p ɑː j
ប៉រួត	p ɑː r uɜ t
ប៉ាកកា	p aː k k aː
ប៉ាកកៃ	p aː k k ai
ប៉ាកណាម	p aː k n aː m
ប៉ាក់ឌិន	p a ʔ d i n
ប៉ាក់ថៅ	p a ʔ tʰ aɨ
ប៉ាក់ប៉ើក	p a ʔ p aɜ k
ប៉ាក់ប៉ៅ	p a ʔ p aɨ
ប៉ាក់	p a ʔ
ប៉ាក	p aː k
ប៉ាគីស្ថាន	p aː k iː s tʰ aː n
ប៉ាង	p aː ŋ
ប៉ាចរហាច	p aː c r ɔː h aː c
ប៉ាច់	p a c
ប៉ាច	p aː c
ប៉ាឆា	p aː cʰ aː
ប៉ាណារ៉ា	p aː n aː r aː
ប៉ាណូរ៉ាមិច	p aː n oʊ r aː m i c
ប៉ាណូ	p aː n oʊ
ប៉ាតង់	p aː t ɑ ŋ
ប៉ាតឡាត	p aː t l aː t
ប៉ាតា	p aː t aː
ប៉ាតេ	p aː t ɛe
ប៉ាត់តា	p a t t aː
ប៉ាត់តេ	p a t t ɛe
ប៉ាត់រញ៉ាត់	p a t r ɔː ɲ a t
ប៉ាត់	p a t
ប៉ាត្រីហ្គា	p aː t r ɜi h k iɜ
ប៉ាត	p aː t
ប៉ានដៃខ្មៅ	p aː n d ai kʰ m aɨ
ប៉ានតាឡូន	p aː n t aː l oʊ n
ប៉ាន់គំរូ	p a n k ʋ m r uː
ប៉ាន់	p a n
ប៉ាន	p aː n
ប៉ាប់	p a p
ប៉ាយណេ	p aː j n ɛe
ប៉ាយហួយ	p aː j h uɜ j
ប៉ាយ	p aː j
ប៉ារា	p aː r aː
ប៉ារីស	p aː r iː h
ប៉ារេត	p aː r ɛe t
ប៉ារោត	p aː r oː t
ប៉ារ៉ាសេតាម៉ុល	p aː r aː s ɛe t aː m o l
ប៉ារ៉ាស៊ីត	p aː r aː s iː t
ប៉ារ៉ាហ្វិន	p aː r aː h β̞ e n
ប៉ារ៉ា	p aː r aː
ប៉ារ៉ូមែត្រ	p aː r oʊ m ɛː t
ប៉ាលធីម៉ម	p aː l tʰ iː m ɑː m
ប៉ាល់ហាល	p a l h aː l
ប៉ាល	p aː l
ប៉ាវគង	p aː β̞ k ɔː ŋ
ប៉ាវ	p aː β̞
ប៉ាសូ	p aː s oʊ
ប៉ាស៊ីណូ	p aː s iː n oʊ
ប៉ាស៊ីហ្វិក	p aː s iː h β̞ e k
ប៉ាស៊ីហ្វីកូ	p aː s iː h β̞ ɜi k oʊ
ប៉ាស៊ីហ្វ៊ិច	p aː s iː h β̞ i c
ប៉ាស្តា	p aː h s t aː
ប៉ាស្វ័រ	p aː s β̞ oa
ប៉ាហាំង	p aː h a ŋ
ប៉ាហ្វេ	p aː h β̞ ɛe
ប៉ាហ្សី	p aː h s ɜi
ប៉ាឡិន	p aː l e n
ប៉ាំង	p a ŋ
ប៉ា	p aː
ប៉ិកគក់	p e k k ɔ ʔ
ប៉ិក	p e k
ប៉ិច	p e c
ប៉ិតប៉ុត	p e t p o t
ប៉ិត	p e t
ប៉ិនណា	p e n n aː
ប៉ិនបេ	p e n b ɛe
ប៉ិនប៉ាន់	p e n p a n
ប៉ិន	p e n
ប៉ិបស៊ី	p e p s iː
ប៉ិល	p e l
ប៉ី	p ɜi
ប៉ឹង	p ɜ ŋ
ប៉ឹម	p ɜ m
ប៉ឺង	p ɜɘ ŋ
ប៉ឺតប៉ោង	p ɜɘ t p aɔ ŋ
ប៉ឺត	p ɜɘ t
ប៉ឺន	p ɜɘ n
ប៉ឺប	p ɜɘ p
ប៉ឺម	p ɜɘ m
ប៉ុង	p o ŋ
ប៉ុច	p o c
ប៉ុណ្ណា	p o n n aː
ប៉ុណ្ណឹង	p o n n ɜ ŋ
ប៉ុណ្ណេះ	p o n n ɛe h
ប៉ុណ្ណោះ	p o n n o h
ប៉ុត	p o t
ប៉ុនប៉ង	p o n p ɑː ŋ
ប៉ុនអម្បាល	p o n ʔ ɑ m b aː l
ប៉ុន្ដែ	p o n d aɛ
ប៉ុន្តែ	p o n t aɛ
ប៉ុន្មាន	p o n m aː n
ប៉ុន	p o n
ប៉ុប	p o p
ប៉ុម	p o m
ប៉ុយ	p o j
ប៉ុលពត	p o l p ɔː t
ប៉ុល	p o l
ប៉ុស្ដិ៍	p o h
ប៉ុស្តិ៍	p o h
ប៉ុ	p o
ប៉ូក	p oʊ k
ប៉ូង	p oʊ ŋ
ប៉ូច	p oʊ c
ប៉ូតង់ស្យែល	p oʊ t ɑ ŋ s j aɛ l
ប៉ូតាស្យូម	p oʊ t aː s j oʊ m
ប៉ូម៉ាត	p oʊ m aː t
ប៉ូម	p oʊ m
ប៉ូរ៉ូ	p oʊ r oʊ
ប៉ូលា	p oʊ l iɜ
ប៉ូលិស	p oʊ l i h
ប៉ូលីដាក់ទីលី	p oʊ l iː d a ʔ t iː l iː
ប៉ូលីតីស	p oʊ l iː t ɜi h
ប៉ូលីន	p oʊ l iː n
ប៉ូលីយ៉េស្ទើ	p oʊ l iː j ɛe s t ɘː
ប៉ូលីស	p oʊ l iː h
ប៉ូល	p oʊ l
ប៉ូវថៅ	p oʊ β̞ tʰ aɨ
ប៉ូវ	p oʊ β̞
ប៉ូហ្សីណី	p oʊ h s ɜi n ɜi
ប៉ូឡូញ	p oʊ l oʊ ɲ
ប៉ូឡូ	p oʊ l oʊ
ប៉ូឡេអុង	p oʊ l ɛe ʔ o ŋ
ប៉ូឡែន	p oʊ l aɛ n
ប៉ូ	p oʊ
ប៉ើក	p aɜ k
ប៉ើងរ៉ើង	p aɜ ŋ r aɜ ŋ
ប៉ើង	p aɜ ŋ
ប៉ើច	p aɜ c
ប៉ើម	p aɜ m
ប៉េតង់	p ɛe t ɑ ŋ
ប៉េត្រូ	p ɛe t r oʊ
ប៉េនីន	p ɛe n iː n
ប៉េនីស៊ីលីន	p ɛe n iː s iː l iː n
ប៉េន	p ɛe n
ប៉េលប៉ាល	p ɛe l p aː l
ប៉េល	p ɛe l
ប៉េវ	p ɛe β̞
ប៉េសេតាស់	p ɛe s ɛe t a h
ប៉េស	p ɛe h
ប៉េហ្ស៊ី	p ɛe h s iː
ប៉េអឹម	p ɛe ʔ ɜ m
ប៉ែតតារាង	p aɛ t t aː r aː ŋ
ប៉ែតសិប	p aɛ t s e p
ប៉ែត	p aɛ t
ប៉ែននីម	p aɛ n n iː m
ប៉ែល	p aɛ l
ប៉ែវ	p aɛ β̞
ប៉ែស	p aɛ h
ប៉ែះ	p aɛ h
ប៉ែ	p aɛ
ប៉ៃលិន	p ai l i n
ប៉ៃឡាំ	p ai l a m
ប៉ៃ	p ai
ប៉ោក	p aɔ k
ប៉ោង	p aɔ ŋ
ប៉ោច	p aɔ c
ប៉ោត	p aɔ t
ប៉ោម	p aɔ m
ប៉ោយចារ	p aɔ j c aː
ប៉ោយប៉ែត	p aɔ j p aɛ t
ប៉ោយប៉ែ	p aɔ j p aɛ
ប៉ោយ	p aɔ j
ប៉ោលតោក	p aɔ l t aɔ k
ប៉ោល	p aɔ l
ប៉ោឡែ	p aɔ l aɛ
ប៉ោ	p aɔ
ប៉ៅអ៊ី	p aɨ ʔ iː
ប៉ៅ	p aɨ
ប៉ះប៉ូវ	p a h p oʊ β̞
ប៉ះពាល់	p a h p oă l
ប៉ះ	p a h
ប៉័កប៉ៅ	p a ʔ p aɨ
